순번,검진기관명,일반,영유아,구강,위암,대장암,간암,유방암,자궁경부암,폐암
1,한림대학교한강성심병원,내원,,,,,,,,
2,한림대학교강남성심병원,내원,내원,,내원,내원,내원,내원,내원,내원
3,성애의료재단성애병원,내원,내원,내원,내원,내원,내원,내원,내원,내원
4,대림성모병원,내원,,내원,내원,내원,내원,내원,내원,내원
5,명지성모병원,내원,,,내원,내원,내원,내원,내원,내원
6,씨엠병원,내원,,,내원,내원,내원,내원,내원,내원
7,의료법인인봉의료재단영등포병원,내원+출장,,내원,내원+출장,내원+출장,내원,내원+출장,내원,
8,건양의료재단김안과병원,내원,,,,,,,,
9,의료법인춘혜의료재단명지춘혜재활병원,내원,,,,,내원,,내원,
10,새길병원,내원,,,내원,내원,내원,내원,,
11,한강수병원,내원+출장,,,내원,내원+출장,내원,,내원,
12,신세계서울병원,내원,,,내원,내원,내원,내원,내원,
13,재단법인한국산업보건환경연구소부설해상병원,내원,,,,,,,,
14,김정묵내과의원,내원,,,내원,내원,내원,,,
15,백내과의원,내원,,,내원,내원,내원,,,
16,원일한상룡내과의원,내원,,,내원,,내원,,,
17,이상태산부인과의원,,,,,,,,내원,
18,연세이충호산부인과의원,,,,,,,,내원,
19,세인산부인과의원,,,,,,,,내원,
20,명소아청소년과의원,,내원,,,,,,,
21,삼성키즈소아청소년과의원,,내원,,,,,,,
22,킴앤리소아청소년과이비인후과의원,,내원,,,,,,,
23,문현창내과의원,내원,,,,,내원,,,
24,정해익소아청소년과의원,,내원,,,,,,,
25,이중연내과의원,내원,,,내원,,,,,
26,의료법인창덕의료재단필립의원,내원,,내원,내원,내원,내원,내원,내원,
27,윤민소아청소년과의원,,내원,,,,,,,
28,연세우리소아청소년과의원,,내원,,,,,,,
29,김영준소아청소년과의원,,내원,,,,,,,
30,최하주소아청소년과의원,,내원,,,,,,,
31,박진소아청소년과의원,,내원,,,,,,,
32,신풍내과의원,내원,,,내원,내원,내원,,,
33,서울우리내과의원,내원,,,내원,내원,내원,내원,내원,
34,백근욱내과의원,내원,,,내원,내원,내원,내원,내원,
35,라메르산부인과의원,내원,,,,,,내원,내원,
36,한빛내과의원,내원,,,내원,,내원,,,
